English,Arabic
No,لا 
From,من 
in a,في 
that,أن 
This,هذا 
On,على 
What,ما 
me,أنا 
Do,هل 
And the,و 
Hey,يا 
that,ذلك 
have,لقد
did not,لم 
what,ماذا 
It was,كان 
here,هنا 
to me,إلى 
You are,أنت 
he is,هو 
this is,هذه 
About,عن 
yes,نعم 
that,ان 
over there,هناك 
All,كل 
Okay,حسناً 
Not,ليس 
I was,كنت 
Just,فقط 
Thing,شيء 
right Now,الآن 
With,مع 
Which,الذي 
But,لكن 
okay,أجل 
for you,لك 
Must,يجب
won't,لن 
How do,كيف 
Good,حسنا 
I,انا 
Mine,لي 
it's a,إنه 
Will,سوف 
we,نحن 
if,إذا 
She was,كانت 
When,عندما 
any,أي 
may be,قد 
Why,لماذا 
she,هي 
Order,الأمر 
it's a,أنه 
in a,فى 
Even,حتى 
after,بعد 
like that,كذلك 
or,أو 
But,ولكن 
Before,قبل 
that,التي 
it's a,انه 
that it,إنها 
Also,أيضاً
if,لو 
Maybe,ربما 
where,أين 
Let's go,هيا 
That,تلك 
I know,أعرف 
to me,الى 
that,إن 
He is,يكون 
some,بعض 
I want,أريد
I believe,أعتقد 
You are,انت 
upon you,عليك 
Such as,مثل 
correct,صحيح 
with it,به 
You are,أنك 
the time,الوقت 
Fine,بخير 
Know,أعلم 
One,أحد
person,شخص 
is very,جداً 
a leg,رجل 
Thanks,شكراً 
So,لذا 
Could,يمكن 
as,كما 
Both,كلا 
more,أكثر 
sound,يبدو 
good,جيد 
Formation,تكون 
on me,علي 
Today,اليوم 
You could,يمكنك 
that it,انها
